1、四则运算题目1: 76-34+13=
2、四则运算题目2: 97+55=
3、四则运算题目3: 66+39=
4、四则运算题目4: 6-6=
5、四则运算题目5: 27+25-29=
6、四则运算题目6: 73-47=
7、四则运算题目7: 20-7-2=
8、四则运算题目8: 90-38=
9、四则运算题目9: 47+31=
10、四则运算题目10: 97-78=
11、四则运算题目11: 39-14=
12、四则运算题目12: 90+13+59=
13、四则运算题目13: 98+55-13=
14、四则运算题目14: 20-0=
15、四则运算题目15: 34-0=
16、四则运算题目16: 45+43+84=
17、四则运算题目17: 10-4=
18、四则运算题目18: 62-39+54=
19、四则运算题目19: 94-89-3=
20、四则运算题目20: 25+10-30=
21、四则运算题目21: 50+12+55=
22、四则运算题目22: 59+47-58=
23、四则运算题目23: 94-40-23=
24、四则运算题目24: 88-78-4=
25、四则运算题目25: 92-80=
26、四则运算题目26: 52-39-9=
27、四则运算题目27: 30-19=
28、四则运算题目28: 56+76=
29、四则运算题目29: 73+2=
30、四则运算题目30: 35-19+7=
31、四则运算题目31: 97+49=
32、四则运算题目32: 66-46=
33、四则运算题目33: 77-60-11=
34、四则运算题目34: 45-2-42=
35、四则运算题目35: 13-5=
36、四则运算题目36: 25-16-6=
37、四则运算题目37: 11+88+33=
38、四则运算题目38: 35+79-25=
39、四则运算题目39: 29+45+89=
40、四则运算题目40: 99+64-86=
41、四则运算题目41: 64-54+36=
42、四则运算题目42: 14-14=
43、四则运算题目43: 49-42=
44、四则运算题目44: 6+89+60=
45、四则运算题目45: 30+24-16=
46、四则运算题目46: 67+9-64=
47、四则运算题目47: 18+60-1=
48、四则运算题目48: 46-16=
49、四则运算题目49: 63-38-17=
50、四则运算题目50: 79+25=
51、四则运算题目51: 3-0=
52、四则运算题目52: 81+62-60=
53、四则运算题目53: 17+27+36=
54、四则运算题目54: 45+56=
55、四则运算题目55: 61-13-41=
56、四则运算题目56: 16-7=
57、四则运算题目57: 68+28-63=
58、四则运算题目58: 25-10=
59、四则运算题目59: 39+64=
60、四则运算题目60: 34-10=
61、四则运算题目61: 42-22=
62、四则运算题目62: 5-4+84=
63、四则运算题目63: 11-6+23=
64、四则运算题目64: 4-4=
65、四则运算题目65: 69-17=
66、四则运算题目66: 66-48=
67、四则运算题目67: 62-14-26=
68、四则运算题目68: 16+14=
69、四则运算题目69: 60-34=
70、四则运算题目70: 11-2+49=
71、四则运算题目71: 80+89-54=
72、四则运算题目72: 99+73=
73、四则运算题目73: 63-10=
74、四则运算题目74: 94+26-49=
75、四则运算题目75: 67-56+51=
76、四则运算题目76: 84+11=
77、四则运算题目77: 57-31+43=
78、四则运算题目78: 54-40+96=
79、四则运算题目79: 33+7-15=
80、四则运算题目80: 75-0-22=
81、四则运算题目81: 27+79=
82、四则运算题目82: 89-31-46=
83、四则运算题目83: 60+24+57=
84、四则运算题目84: 91+24+88=
85、四则运算题目85: 26+62=
86、四则运算题目86: 1+46+91=
87、四则运算题目87: 89+93=
88、四则运算题目88: 23+32-24=
89、四则运算题目89: 8+73+92=
90、四则运算题目90: 75-11=
91、四则运算题目91: 1-0=
92、四则运算题目92: 51+84-47=
93、四则运算题目93: 60+79=
94、四则运算题目94: 2+38-29=
95、四则运算题目95: 69-61-4=
96、四则运算题目96: 37+55=
97、四则运算题目97: 79-3+46=
98、四则运算题目98: 76+20-68=
99、四则运算题目99: 49+82-1=
100、四则运算题目100: 1+96=
101、四则运算题目101: 17-5-3=
102、四则运算题目102: 15+89-57=
103、四则运算题目103: 51-9=
104、四则运算题目104: 70+57+89=
105、四则运算题目105: 37+26=
106、四则运算题目106: 59+31-27=
107、四则运算题目107: 9+15-5=
108、四则运算题目108: 80+15+24=
109、四则运算题目109: 93+32=
110、四则运算题目110: 60-53+28=
111、四则运算题目111: 86-50+4=
112、四则运算题目112: 31+78=
113、四则运算题目113: 55-47+30=
114、四则运算题目114: 46+23+52=
115、四则运算题目115: 19+53-19=
116、四则运算题目116: 75-46=
117、四则运算题目117: 72+62=
118、四则运算题目118: 29-29-0=
119、四则运算题目119: 38-16+63=
120、四则运算题目120: 56-43-8=
121、四则运算题目121: 97+18-15=
122、四则运算题目122: 44+29=
123、四则运算题目123: 6-3-3=
124、四则运算题目124: 77+52-14=
125、四则运算题目125: 36+10+1=
126、四则运算题目126: 7+17=
127、四则运算题目127: 20-6=
128、四则运算题目128: 8-1=
129、四则运算题目129: 46+89+21=
130、四则运算题目130: 5-3+84=
131、四则运算题目131: 41+27=
132、四则运算题目132: 94+56-87=
133、四则运算题目133: 59+3=
134、四则运算题目134: 76+25=
135、四则运算题目135: 10-6=
136、四则运算题目136: 73+96-66=
137、四则运算题目137: 0-0-0=
138、四则运算题目138: 53+78=
139、四则运算题目139: 14+83=
140、四则运算题目140: 19-4=
141、四则运算题目141: 9-2-2=
142、四则运算题目142: 6-6=
